model,factor,level,coef,relativity,std_err,z,p_value,is_base,degenerate
severity,VehPowerBand,16+,1.140379660495847e-15,1.000000000000001,5.683966880104886e-16,2.0063094746160868,0.04482323978747365,False,True
severity,VehAgeBand,1,-0.027617624313250995,0.9727602555668692,0.07465682223561351,-0.369927670187877,0.7114363838198954,False,False
severity,VehAgeBand,2-4,-0.03518457578494058,0.965427205327135,0.06722178770304138,-0.5234102957864164,0.6006887609187203,False,False
severity,VehAgeBand,5-10,-0.09921919742782445,0.9055441933094311,0.0667289777369802,-1.486898208135424,0.13704169760051532,False,False
severity,VehAgeBand,11+,-0.12782468589758295,0.8800076433720193,0.06872966044114294,-1.859818382298664,0.06291122571722568,False,False
severity,DrivAgeBand,21-25,-0.3457128623034672,0.7077156697816243,0.09822248791396325,-3.519691566011747,0.00043204890629388107,False,False
severity,DrivAgeBand,26-30,-0.3807246969309233,0.6833659964816475,0.09726668482126678,-3.9142353584943006,9.069114283085473e-05,False,False
severity,DrivAgeBand,31-40,-0.34305509193296363,0.7095991172963281,0.0940384472442803,-3.648030161980681,0.00026425862121227305,False,False
severity,DrivAgeBand,41-50,-0.38300926525592316,0.6818065821442519,0.09479040976764308,-4.040590880393728,5.3316698756270336e-05,False,False
severity,DrivAgeBand,51-60,-0.3343324990348012,0.7158157346132462,0.09617496935477848,-3.4762943131438577,0.0005083940350021027,False,False
severity,DrivAgeBand,61-70,-0.3832741287208806,0.6816260204036342,0.10149207077864338,-3.7763948038542896,0.00015911471523877903,False,False
severity,DrivAgeBand,71+,-0.22209716498555881,0.8008375471854621,0.10609552760037567,-2.093369720749401,0.036316163211503126,False,False
severity,BonusMalusBand,51-60,0.021094322341346096,1.0213183802353714,0.04165637597460048,0.5063888023818521,0.6125837338296161,False,False
severity,BonusMalusBand,61-80,0.06039353462933393,1.0622544982309543,0.03586314396494824,1.6840000053637545,0.09218166770085286,False,False
severity,BonusMalusBand,81-100,0.1281437612236053,1.136716406692718,0.04636646058659617,2.763716695266787,0.005714713283253225,False,False
